course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043577,"Lab 4 - RandomLabParallel and Sequential Data Structures and Algorithms1Due: Fri, Feb 12th , 2016 @ 5:00 pm15-210 (Spring 16)IntroductionWelcome to RandomLab! This lab will give you practice in analyzing of a variety of randomizedalgorithms using t",4/18/16 21:56,5,274609faca9eed377557e1481c3c5964a38fee50,TRUE,FALSE,https://www.coursehero.com/file/14043577/randomlab/,randomlab,1002,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.348158443,3/5/24 10:00,
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043575,"Lab 5 - FingerLabParallel and Sequential Data Structures and Algorithms1Due: Fri, Feb 26th , 2016 @ 5:00 pm15-210 (Spring 16)IntroductionThis assignment is designed to help strengthen your understanding of binary search trees. You willimplement a s",4/18/16 21:56,6,36d7e61cbbb993ee07ab6c0fec8225a11a049be5,TRUE,FALSE,https://www.coursehero.com/file/14043575/fingerlab/,fingerlab,598,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.207783183,3/5/24 10:00,"Second round picked, as only 4 cat"
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043572,"Lab 10 - DPLabParallel and Sequential Data Structures and Algorithms1Due: Mon, Apr 18th , 2016 @ 11:59 p.m.15-210 (Spring 16)IntroductionIn this assignment you will be exposed to several dynamic programming (DP) concepts, implementations, and analys",4/18/16 21:55,12,e67a7618cf51fe180fab753511df6155949824d2,TRUE,FALSE,https://www.coursehero.com/file/14043572/dplab/,dplab,454,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.157748436,3/5/24 10:00,
1602097,10419945,Parallel and Sequential Data Structures and Algorithms,210,15,78028,484602,Oflazer,0,Oflazer,484602,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,1,Fall,1,2016,10419945,40759861,"Lab 4 - RandomLabParallel and Sequential Data Structures and Algorithms1Due: Fri, Sept 30th , 2016 @ 5:00 p.m.15-210 (Fall '16)IntroductionWelcome to RandomLab! This lab will give you practice in analyzing of a variety of randomizedalgorithms using",4/28/19 14:28,5,a482d7e09e543e5fe1d013dd29e50605f81b6a7e,TRUE,FALSE,https://www.coursehero.com/file/40759861/randomlabpdf/,randomlab.pdf,252,homework,Lab,Homework Help,1.00001E+14,arknamboi,1773,0.14213198,3/5/24 10:00,
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043573,"Lab 3 - BignumLabParallel and Sequential Data Structures and Algorithms1Due: Fri, Feb 5th , 2016 @ 5:00 pm15-210 (Spring 16)IntroductionIn this assignment, you will implement arithmetic operations on a bignum type for natural numbers.Bignums arent ",4/18/16 21:55,7,8084ebedd0914d5b964b719903e5bed54bbdf2c9,TRUE,FALSE,https://www.coursehero.com/file/14043573/bignumlab/,bignumlab,397,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.137943016,3/5/24 10:00,
1602097,1602099,Parallel Data Structures,210,15,78028,376028,UmutAcar,0,UmutAcar,376028,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,1,Fall,1,2012,1602099,7836359,"Homework 815-210: Parallel and Sequential Data Structures and Algorithms (Spring13)Version 1.0 tag inprogress1due: Mon, Apr 8th @ 11:59pmIntroductionIn this assignment you will explore an application of binary search trees to develop efcient algorit",5/12/13 13:55,5,9a937b893d222539ed32bb333d56691d587b1a61,TRUE,FALSE,https://www.coursehero.com/file/7836359/rangelab-sol/,rangelab-sol,522,notes,Assignment,Notes,1.00001E+14,jbaboolall,3950,0.132151899,3/5/24 10:00,
1602097,1623075,Parallel &amp; Sequential Data Structures and Algorithms,210,15,78028,376028,UmutAcar,0,UmutAcar,376028,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,1,Fall,1,2012,1623075,8002045,"Homework 115-210: Parallel and Sequential Data Structures and Algorithms (Fall12)tag Version 1.0due: wed, sep 5 @ 11:59pm1IntroductionThis assignment is meant to help you familiarize yourself with the hand-in mechanism for 15-210 and toget you thin",7/3/13 16:56,5,e4cd5135e80b4e34b6014ba9a35737a1460584dc,TRUE,FALSE,https://www.coursehero.com/file/8002045/assn01/,assn01,466,notes,Assignment,Notes,1.00001E+14,CHroaz,3898,0.119548486,3/5/24 10:00,
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043576,"Lab 1 - ParenLabParallel and Sequential Data Structures and Algorithms1Due: Fri, Jan 22nd , 2016 @ 5:00 pm15-210 (Spring 16)IntroductionThis assignment is designed to give you some practice with brute force and divide-and-conquer algorithms. You wil",4/18/16 21:56,5,46243d29793842e223158167519951c26f272088,FALSE,FALSE,https://www.coursehero.com/file/14043576/parenlab/,parenlab,327,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.11362057,3/5/24 10:00,
1602097,1975203,Parallel and Sequential Data Structures and Algorithms,210,15,78028,436971,Blelloch,0,Blelloch,436971,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,1,Fall,1,2011,1975203,9238955,"15-210 Fall 2011Homework 5Out: 10 October 2011Due: 17 October 2011, 23:59 EST1IntroductionThus far we have seen algorithms for computing the shortest paths from a single source.Although this has countless applications, it seems wasteful when we onl",4/25/14 0:54,8,26ac7f6c101bbe16b5151161e96bf2c953e58fca,TRUE,FALSE,https://www.coursehero.com/file/9238955/15210-Homework-5-Solutions/,15210 Homework 5 Solutions,385,homework,Assignment,Homework Help,1.00001E+14,smensah,3602,0.106885064,3/5/24 10:00,
1602097,5060426,Parallel and Sequential Data Structures and Algorithms,210,15,78028,143503,,0,,143503,1937,https://www.coursehero.com/sitemap/schools/1937-Carnegie-Mellon-University/courses/1602097-15210/,1937,Carnegie Mellon University,3,Spring,1,2016,5060426,14043574,"Lab 7 - BridgeLabDue:Parallel and Sequential Data Structures and Algorithms115-210 (Spring 16)IntroductionYou have been recently hired as a researcher for Tuber, a San Franhattan based startup that specializesin widget (see Figure 1) delivery throu",4/18/16 21:56,7,ca2d0cc0e0ff60a373419ffb03ca1a4e870887bc,FALSE,FALSE,https://www.coursehero.com/file/14043574/bridgelab/,bridgelab,307,homework,Lab,Homework Help,1.00001E+14,ttzz00,2878,0.1066713,3/5/24 10:00,
