course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
2990322,4775850,Mathematics for Computer Science,042J,6,418252,301515,"TomLeighton,Dr.MartenvanDijk",0,"TomLeighton,Dr.MartenvanDijk",301515,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,1,Fall,0,2010,4775850,12731668,"1Mathematics for Computer Sciencerevised May 9, 2010, 770 minutesProf. Albert R MeyerMassachusets Institute of TechnologyCreative Commons2010, Prof. Albert R. Meyer.2Contents1 What is a Proof?1.1 Mathematical Proofs . . . . . . . . . . . . . . .",11/18/15 10:39,520,634f4cde3a94fb9efcd5cb0cc8ca4ae40cc89f72,TRUE,FALSE,https://www.coursehero.com/file/12731668/MIT6-042JS10-notes/,MIT6_042JS10_notes,1531,notes,Notes,Notes,1.00001E+14,via_invested,3030,0.505280528,3/5/24 10:00,
2990322,4775850,Mathematics for Computer Science,042J,6,418252,301515,"TomLeighton,Dr.MartenvanDijk",0,"TomLeighton,Dr.MartenvanDijk",301515,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,1,Fall,0,2010,4775850,12707992,"Chapter 9State Machines9.1State machinesState machines are an abstract model of step-by-step processes, and accordingly,they come up in many areas of computer science. You may already have seenthem in a digital logic course, a compiler course, or a ",11/18/15 10:38,33,0de6d2e2bd6fc7e03fe9cf4e6162bbfda6ff7847,TRUE,FALSE,https://www.coursehero.com/file/12707992/MIT6-042JS10-chap09/,MIT6_042JS10_chap09,668,notes,Notes,Notes,1.00001E+14,via_invested,3030,0.220462046,3/5/24 10:00,Picked as going into second round (assessment/5th cat only doc unrelevant)
2990322,4775850,Mathematics for Computer Science,042J,6,418252,301515,"TomLeighton,Dr.MartenvanDijk",0,"TomLeighton,Dr.MartenvanDijk",301515,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,1,Fall,0,2010,4775850,12731656,"Chapter 10Simple GraphsGraphs in which edges are not directed are called simple graphs. They come up inall sorts of applications, including scheduling, optimization, communications, andthe design and analysis of algorithms. Two Stanford students even ",11/18/15 10:38,41,99b192c87af475066f9c4ec0c145480674c6867b,TRUE,FALSE,https://www.coursehero.com/file/12731656/MIT6-042JS10-chap10/,MIT6_042JS10_chap10,378,test_prep,Notes,Test prep,1.00001E+14,via_invested,3030,0.124752475,3/5/24 10:00,
2990322,32740506,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,1,Fall,0,2023,32740506,212364009,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, February 07, 2023revised Wednesday 22nd February, 2023, 22:13Problem Set 1 Solutions Due ",9/19/23 16:25,6,24c374726debceb2145aed15afa41404c3b6b2d2,TRUE,FALSE,https://www.coursehero.com/file/212364009/pset01-solspdf/,pset01-sols.pdf,14,,,,1.00001E+14,ColonelNeutronRabbit32,168,0.083333333,3/5/24 10:00,
2990322,4775850,Mathematics for Computer Science,042J,6,418252,301515,"TomLeighton,Dr.MartenvanDijk",0,"TomLeighton,Dr.MartenvanDijk",301515,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,1,Fall,0,2010,4775850,12731454,"Chapter 13Communication Networks13.1Communication NetworksModeling communication networks is an important application of digraphs incomputer science. In this such models, vertices represent computers, processors,and switches; edges will represent wi",11/18/15 10:38,21,d2fcce1c62b245f1d45846ef80d230b908b05998,TRUE,FALSE,https://www.coursehero.com/file/12731454/MIT6-042JS10-chap13/,MIT6_042JS10_chap13,231,test_prep,Notes,Test prep,1.00001E+14,via_invested,3030,0.076237624,3/5/24 10:00,
2990322,35437985,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,3,Spring,0,2024,35437985,225851295,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, February 14, 2023revised Tuesday 14th February, 2023, 13:59Problem Set 2Due Date: 11:59pm ",2/20/24 11:51,5,e6b18d15b3826cd02d18034d088a4b6656fadca1,TRUE,FALSE,https://www.coursehero.com/file/225851295/pset02-probspdf/,pset02-probs.pdf,1,,,,1.00001E+14,GrandPartridge1292,14,0.071428571,3/5/24 10:00,
2990322,35437985,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,3,Spring,0,2024,35437985,225851197,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, March 14, 2023revised Tuesday 14th March, 2023, 14:43Problem Set 5Due Date: 11:59pm on Mon",2/20/24 11:51,5,0e038fd6c7ebc165dff1d79881e1ee3c2b709c57,FALSE,FALSE,https://www.coursehero.com/file/225851197/pset05-probspdf/,pset05-probs.pdf,1,,,,1.00001E+14,GrandPartridge1292,14,0.071428571,3/5/24 10:00,
2990322,35437985,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,3,Spring,0,2024,35437985,225851171,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, May 2, 2023revised Wednesday 3rd May, 2023, 18:27Problem Set 10Due Date: 11:59pm on Friday",2/20/24 11:52,4,fe0ef1059a546a5d078dc8d125859cd240cd82f7,FALSE,FALSE,https://www.coursehero.com/file/225851171/pset10-probspdf/,pset10-probs.pdf,1,,,,1.00001E+14,GrandPartridge1292,14,0.071428571,3/5/24 10:00,
2990322,35437985,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,3,Spring,0,2024,35437985,225851140,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, April 4, 2023revised Tuesday 4th April, 2023, 19:54Problem Set 7Due Date: 11:59pm on Monda",2/20/24 11:52,5,47e18b2993c6fdd7e6080371ae34c44cd97f1e8d,FALSE,FALSE,https://www.coursehero.com/file/225851140/pset07-probspdf/,pset07-probs.pdf,1,,,,1.00001E+14,GrandPartridge1292,14,0.071428571,3/5/24 10:00,
2990322,35437985,Mathematics for Computer Science,042J,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990322-6042J/,1105,Massachusetts Institute of Technology,3,Spring,0,2024,35437985,225851012,"6.1200J/18.062J Mathematics for Computer ScienceMassachusetts Institute of Technology, Spring 2023Z. Abel, B. Chapman, A. Natarajan, V. VaikuntanathanTuesday, April 18, 2023revised Tuesday 18th April, 2023, 18:02Problem Set 8Due Date: 11:59pm on Mon",2/20/24 11:52,3,c4b232d8e24bac4c493721f36f12a81e6d3e93a2,FALSE,FALSE,https://www.coursehero.com/file/225851012/pset08-probspdf/,pset08-probs.pdf,1,,,,1.00001E+14,GrandPartridge1292,14,0.071428571,3/5/24 10:00,
