course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
809977,2085500,Introduction to Computer Science,109,CS,268,1245,,0,,1245,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2014,2085500,107575087,"Final Year Project Presentation TemplateRopier and trenchant Petr never coo his selvage! Burton greens ultrasonically. Glancingly expedient, Geraldoheave Mann and elasticized moralism.Ppt presentation is so it to visualize data and year project propos",9/23/21 23:11,14,bbff1abc051577934482e28980a5a3ee584f1a58,FALSE,FALSE,https://www.coursehero.com/file/107575087/final-year-project-presentation-templatepdf/,final-year-project-presentation-template.pdf,1155,,Assignment,,1.00001E+14,ArshaMW,894,1.291946309,3/5/24 10:00,"Skipped, as unrelevant"
809977,1471375,Introduction to Probability for Computer Scientists,109,CS,268,148855,MEHRANSAHAMI,0,MEHRANSAHAMI,148855,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2010,1471375,6655647,Indicators: Now With Pair-wise Flavor!Recall Ii is indicator variable for event Ai when:From Event Pairs to VarianceExpected number of pairs of events:n X E E I i I j E[ I i I j ] P( Ai A j ) 2 i j i j i ji 1I i 1 if Ai occurs0 otherwiseE X ,12/24/11 7:18,3,470816eec85d520a75b7fe5b0ad05ced97c1ce02,FALSE,FALSE,https://www.coursehero.com/file/6655647/Covariance-6/,Covariance-6,483,notes,Notes,Notes,1.00001E+14,deepika,4455,0.108417508,3/5/24 10:00,
809977,4531895,Introduction to Computer Science,109,CS,268,1245,,0,,1245,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,4,Summer,0,2015,4531895,17783082,"Weak Law of Large NumbersConsider I.I.D. random variables X1, X2, .Xi have distribution F with E[Xi] = and Var(Xi) = 21 n Let X = X in i =1For any &gt; 0: 0P ( X ) nProof:E[ X ] = E[X1 + X 2 +.+ X nn]= Var ( X ) = Var(X1 + X 2 +.+ X nBy Che",11/15/16 14:02,15,5e866a8793192704aa5f2561cadfbb8738bdfe1a,FALSE,FALSE,https://www.coursehero.com/file/17783082/CentralLimitTheorem/,CentralLimitTheorem,114,notes,Notes,Notes,1.00001E+14,fcv28,2667,0.042744657,3/5/24 10:00,"Second round picked, as 3 cat only have bad docs"
809977,1471375,Introduction to Probability for Computer Scientists,109,CS,268,148855,MEHRANSAHAMI,0,MEHRANSAHAMI,148855,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2010,1471375,6655646,Indicators: Now With Pair-wise Flavor!Recall Ii is indicator variable for event Ai when:From Event Pairs to VarianceExpected number of pairs of events:n X E E I i I j E[ I i I j ] P( Ai A j ) 2 i j i j i ji 1I i 1 if Ai occurs0 otherwiseE X ,12/24/11 7:18,5,b1706db40371e3c5b9c5d8921bbe3ce85c2a3bd6,FALSE,FALSE,https://www.coursehero.com/file/6655646/Covariance-4/,Covariance-4,137,notes,Notes,Notes,1.00001E+14,deepika,4455,0.030751964,3/5/24 10:00,"Third round picked, as 3 cat only have bad docs"
809977,1471375,Introduction to Probability for Computer Scientists,109,CS,268,148855,MEHRANSAHAMI,0,MEHRANSAHAMI,148855,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2010,1471375,6655674,"Binary Search TreeA binary search tree (BST), is a binary tree where forevery node n in the tree:n's value is greater than all the values in its left subtree.n's value is less than all the values in its right subtree.both n's left and right subtrees ",12/24/11 7:24,1,753823d88d001f42da66b91e293a4e92fa28bfe0,TRUE,FALSE,https://www.coursehero.com/file/6655674/BST-Permutations/,BST-Permutations,81,notes,Notes,Notes,1.00001E+14,deepika,4455,0.018181818,3/5/24 10:00,
809977,2085500,Introduction to Computer Science,109,CS,268,1245,,0,,1245,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2014,2085500,116194666,"ICAR-National Institute of Abiotic Stress ManagementMalegaon, Baramati, Pune - 413 115, Maharashtra, IndiaNIASM Technical Bulletin: 46Dragon Fruit Cultivation in India:Scope, Marketing, Constraints and Policy IssuesAuthorsG C WakchaureSatish Kumar",11/10/21 20:37,63,7602b5d15149a0d0554aaeee6751a23e15467955,FALSE,FALSE,https://www.coursehero.com/file/116194666/DragonFruitBulletinNo-46pdf/,DragonFruitBulletinNo-46.pdf,12,,Notes,,1.00001E+14,ArshaMW,846,0.014184397,3/5/24 10:00,"Skipped, as unrelevant"
809977,2085499,Introduction to Probability for Computer Scientists,109,CS,268,148855,MEHRANSAHAMI,0,MEHRANSAHAMI,148855,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2014,2085499,135828562,"Federal Government's Procurement andDistribution Strategies in Response to theCOVID-19 PandemicRelease Date: Mar 11, 2020Statement of Peter Gaynor Administrator Federal Emergency Management Agency U.S.Department of Homeland SecurityandJohn Polowczy",3/15/22 2:47,16,1163dbf54e527f08213f865c390734a5a5202a37,FALSE,FALSE,https://www.coursehero.com/file/135828562/Federal-Governments-Procurement-and-Distribution-Strategies-in-Response-to-the-COVID19-Pandemicpdf/,Federal Governments Procurement and Distribution Strategies in Response to the COVID19 Pandemic.pdf,10,,Other,,1.00001E+14,MajorChinchilla309,721,0.013869626,3/5/24 10:00,"Skipped, as unrelevant"
809977,4969661,Introduction to Computer Science,109,CS,268,1245,,0,,1245,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,2,Winter,0,2015,4969661,13312502,"IndependenceCS109 Lecture 5Elmer Le &amp; Kevin ShinJune 29, 2014Le, ShinIndependenceOutline1Conditional Probability2Logistics3IndependenceIndependenceExamplesLe, ShinIndependence1Conditional Probability2Logistics3IndependenceIndependen",2/7/16 5:26,28,fde9bc146d9f6d3556d2a5cf0926209b5c56c8fe,TRUE,FALSE,https://www.coursehero.com/file/13312502/CS109-L5-Slides/,CS109_L5_Slides,38,notes,Slides,Notes,1.00001E+14,iarev1et,2949,0.012885724,3/5/24 10:00,
809977,2085499,Introduction to Probability for Computer Scientists,109,CS,268,148855,MEHRANSAHAMI,0,MEHRANSAHAMI,148855,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2014,2085499,135824353,"Contact Tracing Apps Were Big Tech's Best Idea for FightingCOVID-19. Why Haven't They Helped?In this photo illustration a COVIDWISE logo is displayed on a mobile phone screen on August 6, 2020, in Arlington, Virginia,amid the novel coronavirus pandemic",3/15/22 2:08,5,b1055848bf8bfd839aee05d261cfc02f38539764,FALSE,FALSE,https://www.coursehero.com/file/135824353/Contact-Tracing-Apps-Were-Big-Techs-Best-idea-for-Fighting-COVID19-Why-Havent-They-Helpedpdf/,Contact Tracing Apps Were Big Techs Best idea for Fighting COVID19 Why Havent They Helped.pdf,9,,Assignment,,1.00001E+14,MajorChinchilla309,721,0.012482663,3/5/24 10:00,"Skipped, as unrelevant"
809977,2085500,Introduction to Computer Science,109,CS,268,1245,,0,,1245,17,https://www.coursehero.com/sitemap/schools/17-Stanford-University/courses/809977-CS109/,17,Stanford University,3,Spring,1,2014,2085500,116064257,Int.J.Curr.Microbiol.App.Sci (2018) Special Issue-6: 78-86International Journal of Current Microbiology and Applied SciencesISSN: 2319-7706 Special Issue-6 pp. 78-86Journal homepage: http:/www.ijcmas.comOriginal Research ArticleStudies on Effect of P,11/10/21 6:06,9,6b2d295d2fa86f9af8c7f2da627759bb58ea4f9f,FALSE,FALSE,https://www.coursehero.com/file/116064257/VJ-Kanase-et-alpdf/,"V.J. Kanase, et al.pdf",10,,Assignment,,1.00001E+14,ArshaMW,846,0.011820331,3/5/24 10:00,"Skipped, as unrelevant"
